metric,backbone,exclusion_set,value,baseline_value,pct_shift_from_baseline,sign_flip
tilt_active_rate,of3,E1+E2+E4,0.5385385385385385,0.6075789473684211,-11.363199651487951,False
median_tilt_shift,protenix,E1+E2+E4,5.307282224462718,5.307282224462718,0.0,False
fraction_of_way_to_active,protenix,E1+E2+E4,0.9227796039075492,0.9201264714510232,0.288344324269049,False
apo_active_rate,protenix,E1+E2+E4,0.069069069069069,0.145,-52.36615926271098,False
cognate_active_rate,protenix,E1+E2+E4,0.8697435897435898,0.8706382978723404,-0.1027646188936403,False
tilt_active_rate,protenix,E1+E2+E4,0.5288753799392097,0.5671578947368421,-6.749886610569919,False
median_tilt_shift,boltz,E1+E2+E4+E5,5.086485515801599,5.036307399878147,0.9963275062333578,False
fraction_of_way_to_active,boltz,E1+E2+E4+E5,0.947236947451202,0.9471950017465284,0.0044284127973727,False
apo_active_rate,boltz,E1+E2+E4+E5,0.1164021164021164,0.1598326359832636,-27.17249785312614,False
cognate_active_rate,boltz,E1+E2+E4+E5,0.8031578947368421,0.8341880341880342,-3.7198015530629935,False
tilt_active_rate,boltz,E1+E2+E4+E5,0.5662269129287599,0.5784355179704017,-2.1106250675060543,False
median_tilt_shift,chai,E1+E2+E4+E5,2.0347199433399155,1.047307481027726,94.28104737142128,False
fraction_of_way_to_active,chai,E1+E2+E4+E5,0.871780038857966,0.8841178702979391,-1.3954962176949783,False
apo_active_rate,chai,E1+E2+E4+E5,0.2760800842992624,0.3266666666666666,-15.485688479817632,False
cognate_active_rate,chai,E1+E2+E4+E5,0.7252631578947368,0.7497872340425532,-3.270804707569153,False
tilt_active_rate,chai,E1+E2+E4+E5,0.5760926803580833,0.5962105263157895,-3.3742856037819484,False
median_tilt_shift,of3,E1+E2+E4+E5,4.921866924216855,4.814160360618894,2.237286578133724,False
fraction_of_way_to_active,of3,E1+E2+E4+E5,0.9295809575652004,0.9339782025693488,-0.470808097239508,False
apo_active_rate,of3,E1+E2+E4+E5,0.0937829293993677,0.2416666666666666,-61.19327059336507,False
cognate_active_rate,of3,E1+E2+E4+E5,0.7523709167544784,0.7991489361702128,-5.853479532852806,False
tilt_active_rate,of3,E1+E2+E4+E5,0.5353003161222339,0.6075789473684211,-11.896171116402943,False
median_tilt_shift,protenix,E1+E2+E4+E5,5.307282224462718,5.307282224462718,0.0,False
fraction_of_way_to_active,protenix,E1+E2+E4+E5,0.9160290251141052,0.9201264714510232,-0.4453133850672189,False
apo_active_rate,protenix,E1+E2+E4+E5,0.0558482613277133,0.145,-61.48395770502525,False
cognate_active_rate,protenix,E1+E2+E4+E5,0.8627027027027027,0.8706382978723404,-0.911468653404136,False
tilt_active_rate,protenix,E1+E2+E4+E5,0.5218783351120597,0.5671578947368421,-7.983589763092659,False
median_tilt_shift,boltz,all_E1-E5,5.152285249536245,5.036307399878147,2.3028350029012072,False
fraction_of_way_to_active,boltz,all_E1-E5,0.941689788961146,0.9471950017465284,-0.5812121870608873,False
apo_active_rate,boltz,all_E1-E5,0.1127272727272727,0.1598326359832636,-29.471680152308423,False
cognate_active_rate,boltz,all_E1-E5,0.9472727272727272,0.8341880341880342,13.55625931445603,False
tilt_active_rate,boltz,all_E1-E5,0.5654545454545454,0.5784355179704017,-2.2441520467836336,False
median_tilt_shift,chai,all_E1-E5,3.372765716278612,1.047307481027726,222.04159498306132,False
fraction_of_way_to_active,chai,all_E1-E5,0.9129824192594576,0.8841178702979391,3.264785152661985,False
apo_active_rate,chai,all_E1-E5,0.2240437158469945,0.3266666666666666,-31.415189026430244,False
cognate_active_rate,chai,all_E1-E5,0.8145454545454546,0.7497872340425532,8.636879578990817,False
tilt_active_rate,chai,all_E1-E5,0.5532302092811647,0.5962105263157895,-7.208916169296177,False
median_tilt_shift,of3,all_E1-E5,4.9690293423189535,4.814160360618894,3.2169468837583546,False
fraction_of_way_to_active,of3,all_E1-E5,0.9216167169954615,0.9339782025693488,-1.323530414294579,False
apo_active_rate,of3,all_E1-E5,0.1109090909090909,0.2416666666666666,-54.10658307210031,False
cognate_active_rate,of3,all_E1-E5,0.8579234972677595,0.7991489361702128,7.354644226796319,False
tilt_active_rate,of3,all_E1-E5,0.5441310282074613,0.6075789473684211,-10.442744837649313,False
median_tilt_shift,protenix,all_E1-E5,5.3183491978579935,5.307282224462718,0.2085243054206774,False
fraction_of_way_to_active,protenix,all_E1-E5,0.9227796039075492,0.9201264714510232,0.288344324269049,False
apo_active_rate,protenix,all_E1-E5,0.0109289617486338,0.145,-92.46278500094212,False
cognate_active_rate,protenix,all_E1-E5,1.0,0.8706382978723404,14.858260019550348,False
