receptor	cluster	organism	tier	core32_provisional	panel_ligands_col	n_structures	n_ligand_records	act_modalities	act_modalities_panelspecies	blk_modalities	blk_modalities_panelspecies	oact_modalities	oact_modalities_panelspecies	oblk_modalities	oblk_modalities_panelspecies	n_ago_pam	n_agonist	n_allosteric_agonist	n_allosteric_antagonist	n_antagonist	n_apo	n_inverse_agonist	n_nam	n_other_cofactor	n_other_unknown	n_pam	n_partial_agonist	n_mod_small-molecule	n_mod_peptide	n_mod_protein	n_mod_lipid	n_mod_none	n_site_orthosteric	n_site_allosteric
DRD4	001_001_004	Homo sapiens (Human)	EXTENSION-chimeric-reference	no	sm / sm / –	4	4	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	0	1	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	4	0
EDNRA	001_002_007	Homo sapiens (Human)	EXTENSION-chimeric-reference	no	prot / sm / C	5	5	protein	protein	small-molecule	small-molecule	protein	protein	small-molecule	small-molecule	0	2	0	0	3	0	0	0	0	0	0	0	3	0	2	0	0	5	0
EDNRB	001_002_007	Homo sapiens (Human)	PRIMARY	yes	pep;prot / pep;sm / C	18	18	peptide;protein	peptide;protein	peptide;small-molecule	peptide;small-molecule	peptide;protein	peptide;protein	peptide;small-molecule	peptide;small-molecule	0	13	0	0	2	1	1	0	0	0	0	1	2	6	9	0	1	17	0
FSHR	001_003_003	Homo sapiens (Human)	EXTENSION-census	no	pep;sm / **none** / –	2	4	peptide;small-molecule	peptide;small-molecule			peptide	peptide			0	2	1	0	0	1	0	0	0	0	0	0	1	2	0	0	1	2	1
GHSR	001_002_010	Homo sapiens (Human)	PRIMARY	yes	pep;sm / sm / c	7	7	peptide;small-molecule	peptide;small-molecule	small-molecule	small-molecule	peptide;small-molecule	peptide;small-molecule	small-molecule	small-molecule	0	5	0	0	1	0	1	0	0	0	0	0	3	4	0	0	0	7	0
GPR52	001_010_001	Homo sapiens (Human)	PRIMARY	yes	sm / **none** / –	5	5	small-molecule	small-molecule			small-molecule	small-molecule			0	2	0	0	0	3	0	0	0	0	0	0	2	0	0	0	3	2	0
GPR6	001_010_001	Homo sapiens (Human)	EXTENSION-census	no	— / sm / –	4	4			small-molecule	small-molecule			small-molecule	small-molecule	0	0	0	0	0	1	3	0	0	0	0	0	3	0	0	0	1	3	0
GRPR	001_002_003	Homo sapiens (Human)	EXTENSION-chimeric-reference	yes	pep / sm / C	4	4	peptide	peptide	small-molecule	small-molecule	peptide	peptide	small-molecule	small-molecule	0	3	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	4	0
HRH1	001_001_005	Homo sapiens (Human)	EXTENSION-chimeric-reference	no	sm / sm / c	7	7	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	0	2	0	0	4	1	0	0	0	0	0	0	6	0	0	0	1	6	0
HRH2	001_001_005	Homo sapiens (Human)	EXTENSION-census	no	sm / sm / –	5	5	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	0	4	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	5	0
HRH3	001_001_005	Homo sapiens (Human)	PRIMARY	yes	lip;sm / sm / c	7	7	lipid;small-molecule	lipid;small-molecule	small-molecule	small-molecule	lipid;small-molecule	lipid;small-molecule	small-molecule	small-molecule	0	6	0	0	1	0	0	0	0	0	0	0	6	0	0	1	0	7	0
LPAR1	001_004_003	Homo sapiens (Human)	PRIMARY	yes	sm / sm / C	16	16	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	0	13	0	0	3	0	0	0	0	0	0	0	16	0	0	0	0	16	0
LSHR	001_003_003	Homo sapiens (Human)	EXTENSION-census	no	prot;sm / **none** / –	4	8	protein;small-molecule	protein;small-molecule			protein	protein			0	6	1	0	0	1	0	0	0	0	0	0	1	0	6	0	1	6	1
LT4R1	001_004_002	Homo sapiens (Human)	PRIMARY	yes	sm / sm / C	2	2	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	small-molecule	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0
MCHR1	001_002_013	Homo sapiens (Human)	PRIMARY	yes	pep / sm / C	10	10	peptide	peptide	small-molecule	small-molecule	peptide	peptide	small-molecule	small-molecule	0	5	0	0	2	3	0	0	0	0	0	0	2	5	0	0	3	7	0
MTR1A	001_005_001	Homo sapiens (Human)	PRIMARY	yes	sm / **none** / –	8	8	small-molecule	small-molecule			small-molecule	small-molecule			0	8	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	8	0
