draw_id,backbone,frame,contrast,scale,term_estimate
21,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.2877777777777778
21,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,-0.011666666666666714
21,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,2.4141554589803755
21,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.8418348705792598
21,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,-0.13914973342582693
22,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.5210526315789473
22,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.2794736842105263
22,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.021052631578947434
22,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,2.4183409304180024
22,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,2.421862242635586
22,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.7689072264414833
23,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.4555
23,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.253
23,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,-0.011499999999999955
23,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,1.9864801241189007
23,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.9588975886816735
23,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,-0.1863388400465782
24,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.466046511627907
24,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.35813953488372097
24,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,-0.005581395348837281
24,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,2.4103007235682763
24,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,2.321294000705217
24,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,-0.08499443537884366
25,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.4205555555555555
25,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.23555555555555563
25,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.06277777777777771
25,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,1.8634462195476011
25,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.3228991980807159
25,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.6886060462637129
26,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.4033333333333334
26,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.31222222222222223
26,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.03722222222222216
26,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,2.431393536759381
26,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.4138729007600945
26,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,logit,0.241141705761176
27,boltz,reproduction_36,delta_occupancy_apo_to_decoy,probability,0.40615384615384614
27,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,probability,0.24615384615384617
27,boltz,reproduction_36,delta_correct_family_shuffled_to_cognate,probability,0.08615384615384614
27,boltz,reproduction_36,delta_occupancy_apo_to_decoy,logit,1.914223555212896
27,boltz,reproduction_36,delta_a5ct_sequence_decoy_to_shuffled,logit,1.2066718612951008
