frame,predicate,cutoff_A,arm,backbone,n,n_engaged,p_engaged,p_engaged_lo95,p_engaged_hi95,p_active_given_engaged,p_agv_lo95,p_agv_hi95,n_engaged_but_inactive
frame_40,two_instrument,20.0,apo,boltz,2000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,20.0,apo,chai,2000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,20.0,apo,of3,2000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,20.0,apo,protenix,2000,0,0.0,0.0,0.0,,,,0
frame_40,two_instrument,20.0,cognate,panel_all,8000,7974,0.99675,0.992324584717608,1.0,0.8046149987459242,0.6749870836525775,0.8998362224275588,1558
frame_40,two_instrument,20.0,cognate,boltz,2000,1997,0.9985,0.9949945652173913,1.0,0.8117175763645468,0.672407848307418,0.9203189300411523,376
frame_40,two_instrument,20.0,cognate,chai,2000,1995,0.9975,0.9935294117647059,1.0,0.7413533834586467,0.5824610126765273,0.870496935857279,516
frame_40,two_instrument,20.0,cognate,of3,2000,1982,0.991,0.9776190476190476,1.0,0.7885973763874874,0.6434011980702494,0.9059595115098785,419
frame_40,two_instrument,20.0,cognate,protenix,2000,2000,1.0,1.0,1.0,0.8765,0.7403984962406015,0.975,247
frame_40,two_instrument,20.0,shuffled,panel_all,8000,7698,0.96225,0.9267827380952381,0.9914285714285714,0.7557807222655235,0.6367944331415771,0.845430955192306,1880
frame_40,two_instrument,20.0,shuffled,boltz,2000,1961,0.9805,0.9355036231884059,1.0,0.7659357470678225,0.6134511117186077,0.8875124999999999,459
frame_40,two_instrument,20.0,shuffled,chai,2000,1837,0.9185,0.8295306324110673,0.9973684210526316,0.7180185084376701,0.5510963830921355,0.8480382445141065,518
frame_40,two_instrument,20.0,shuffled,of3,2000,1904,0.952,0.896918918918919,0.9923964285714285,0.6759453781512605,0.5356943276311589,0.8013389174326285,617
frame_40,two_instrument,20.0,shuffled,protenix,2000,1996,0.998,0.9933333333333333,1.0,0.8567134268537074,0.7213965466527982,0.9543035714285715,286
frame_40,two_instrument,20.0,decoy,panel_all,8000,5602,0.70025,0.5909579762689519,0.8117599563953488,0.6012138521956444,0.48526978141873667,0.6981358297292815,2234
frame_40,two_instrument,20.0,decoy,boltz,2000,1288,0.644,0.515280905752754,0.7806460746460746,0.531832298136646,0.3750951152536624,0.6676136954175383,603
frame_40,two_instrument,20.0,decoy,chai,2000,1644,0.822,0.6779117647058823,0.9385821428571429,0.6447688564476886,0.45593736258904227,0.7961085346158554,584
frame_40,two_instrument,20.0,decoy,of3,2000,1260,0.63,0.47770892857142855,0.770030487804878,0.48968253968253966,0.3145595557257756,0.6608603229688736,643
frame_40,two_instrument,20.0,decoy,protenix,2000,1410,0.705,0.5736542824730573,0.8395286290322581,0.7134751773049646,0.595023202490043,0.81335213893736,404
frame_40,tilt_only,10.0,apo,panel_all,8000,0,0.0,0.0,0.0,,,,0
frame_40,tilt_only,10.0,apo,boltz,2000,0,0.0,0.0,0.0,,,,0
frame_40,tilt_only,10.0,apo,chai,2000,0,0.0,0.0,0.0,,,,0
frame_40,tilt_only,10.0,apo,of3,2000,0,0.0,0.0,0.0,,,,0
frame_40,tilt_only,10.0,apo,protenix,2000,0,0.0,0.0,0.0,,,,0
frame_40,tilt_only,10.0,cognate,panel_all,8000,48,0.006,0.0013885416666666668,0.01411842928660826,0.5,0.25925925925925924,0.6666666666666666,24
frame_40,tilt_only,10.0,cognate,boltz,2000,10,0.005,0.0005555555555555556,0.012432732732732732,0.9,0.6,1.0,1
frame_40,tilt_only,10.0,cognate,chai,2000,18,0.009,0.001,0.021052631578947368,0.16666666666666666,0.0,0.5,15
frame_40,tilt_only,10.0,cognate,of3,2000,20,0.01,0.0010803698435277384,0.023640692640692636,0.6,0.25,0.6875,8
frame_40,tilt_only,10.0,cognate,protenix,2000,0,0.0,0.0,0.0,,,,0
frame_40,tilt_only,10.0,shuffled,panel_all,8000,354,0.04425,0.029478125,0.05946359797297297,0.8615819209039548,0.8021456739490496,0.9230836236933798,49
frame_40,tilt_only,10.0,shuffled,boltz,2000,79,0.0395,0.009469400244798042,0.07947368421052632,0.7848101265822784,0.6842105263157895,1.0,17
frame_40,tilt_only,10.0,shuffled,chai,2000,6,0.003,0.0,0.007804878048780488,0.16666666666666666,0.0,1.0,5
frame_40,tilt_only,10.0,shuffled,of3,2000,212,0.106,0.06888617886178862,0.14927468060394888,0.8962264150943396,0.8314572898334913,0.9624083646616541,22
frame_40,tilt_only,10.0,shuffled,protenix,2000,57,0.0285,0.0035520325203252036,0.06667073170731706,0.9122807017543859,0.6920454545454545,0.9803921568627451,5
frame_40,tilt_only,10.0,decoy,panel_all,8000,1506,0.18825,0.13444144144144143,0.24338513719512195,0.8034528552456839,0.6730316492551933,0.9139327315457961,296
frame_40,tilt_only,10.0,decoy,boltz,2000,339,0.1695,0.10157435740514076,0.24041222222222222,0.831858407079646,0.6411917539824517,0.9555037529537136,57
frame_40,tilt_only,10.0,decoy,chai,2000,349,0.1745,0.09118321043675554,0.27511171171171167,0.7822349570200573,0.5119950444670589,0.9656488994215938,76
frame_40,tilt_only,10.0,decoy,of3,2000,452,0.226,0.13554504504504505,0.3191929400386847,0.7898230088495575,0.6887897591025606,0.8914165237278445,95
frame_40,tilt_only,10.0,decoy,protenix,2000,366,0.183,0.10633570460704607,0.2761594076655052,0.8142076502732241,0.5988496267531292,0.9907249742002064,68
frame_40,tilt_only,12.0,apo,panel_all,8000,0,0.0,0.0,0.0,,,,0
frame_40,tilt_only,12.0,apo,boltz,2000,0,0.0,0.0,0.0,,,,0
frame_40,tilt_only,12.0,apo,chai,2000,0,0.0,0.0,0.0,,,,0
frame_40,tilt_only,12.0,apo,of3,2000,0,0.0,0.0,0.0,,,,0
frame_40,tilt_only,12.0,apo,protenix,2000,0,0.0,0.0,0.0,,,,0
frame_40,tilt_only,12.0,cognate,panel_all,8000,3161,0.395125,0.2582440015479876,0.5324638157894737,0.9373615944321417,0.8614026646323824,0.9896725314469109,198
frame_40,tilt_only,12.0,cognate,boltz,2000,739,0.3695,0.2323886524822695,0.5183285714285714,0.9972936400541272,0.9930257667920726,1.0,2
frame_40,tilt_only,12.0,cognate,chai,2000,705,0.3525,0.20484080421885298,0.49829596273291926,0.7375886524822695,0.45533685064935064,0.9636497180692657,185
frame_40,tilt_only,12.0,cognate,of3,2000,872,0.436,0.28658139534883725,0.5928947368421053,0.9873853211009175,0.9715033502137741,0.9978028643985895,11
frame_40,tilt_only,12.0,cognate,protenix,2000,845,0.4225,0.2590858585858586,0.5920421052631578,1.0,1.0,1.0,0
frame_40,tilt_only,12.0,shuffled,panel_all,8000,1245,0.155625,0.11195638918345706,0.2080013888888889,0.8610441767068273,0.7657877677517145,0.9357316200676464,173
frame_40,tilt_only,12.0,shuffled,boltz,2000,410,0.205,0.10565189520624303,0.320027027027027,0.8853658536585366,0.7348549922995162,1.0,47
frame_40,tilt_only,12.0,shuffled,chai,2000,63,0.0315,0.004346273291925466,0.07211344238975817,0.6031746031746031,0.07142857142857142,0.9466666666666667,25
frame_40,tilt_only,12.0,shuffled,of3,2000,555,0.2775,0.2164047619047619,0.34206097560975607,0.8918918918918919,0.8296419898143637,0.9479200487012986,60
frame_40,tilt_only,12.0,shuffled,protenix,2000,217,0.1085,0.0404637049941928,0.1880027027027027,0.8110599078341014,0.5559274336283186,0.9698061829695199,41
frame_40,tilt_only,12.0,decoy,panel_all,8000,2744,0.343,0.26283505639097743,0.42226633275261327,0.7860787172011662,0.6635307995794791,0.8783887169438137,587
frame_40,tilt_only,12.0,decoy,boltz,2000,539,0.2695,0.1789605263157895,0.3609431818181818,0.764378478664193,0.5481589775036967,0.9132922392064395,127
frame_40,tilt_only,12.0,decoy,chai,2000,730,0.365,0.24375895663104966,0.49333823529411763,0.7123287671232876,0.44969327148183474,0.9244555792703262,210
frame_40,tilt_only,12.0,decoy,of3,2000,788,0.394,0.2761083333333333,0.5084127906976744,0.8134517766497462,0.7251485857500894,0.9000231175693527,147
frame_40,tilt_only,12.0,decoy,protenix,2000,687,0.3435,0.2476829268292683,0.4461162280701754,0.8500727802037845,0.6970869408369409,0.9648877856041211,103
frame_40,tilt_only,14.0,apo,panel_all,8000,0,0.0,0.0,0.0,,,,0
frame_40,tilt_only,14.0,apo,boltz,2000,0,0.0,0.0,0.0,,,,0
frame_40,tilt_only,14.0,apo,chai,2000,0,0.0,0.0,0.0,,,,0
frame_40,tilt_only,14.0,apo,of3,2000,0,0.0,0.0,0.0,,,,0
frame_40,tilt_only,14.0,apo,protenix,2000,0,0.0,0.0,0.0,,,,0
frame_40,tilt_only,14.0,cognate,panel_all,8000,7612,0.9515,0.8863740220483641,0.9911775466284075,0.9529689963215975,0.9153011592150522,0.9823124483695187,358
frame_40,tilt_only,14.0,cognate,boltz,2000,1920,0.96,0.8969936046511628,0.999,0.9958333333333333,0.9908326460248783,1.0,8
frame_40,tilt_only,14.0,cognate,chai,2000,1831,0.9155,0.8261515151515151,0.9794999999999999,0.831785909339159,0.6777531239115291,0.9434772240602046,308
frame_40,tilt_only,14.0,cognate,of3,2000,1910,0.955,0.8851249999999999,0.9961936090225564,0.9780104712041885,0.9491184277341931,0.9972737557905622,42
frame_40,tilt_only,14.0,cognate,protenix,2000,1951,0.9755,0.9188188405797101,1.0,1.0,1.0,1.0,0
frame_40,tilt_only,14.0,shuffled,panel_all,8000,6580,0.8225,0.7772502289377289,0.8645014705882353,0.9322188449848025,0.8880137534253595,0.9684202365811184,446
frame_40,tilt_only,14.0,shuffled,boltz,2000,1709,0.8545,0.7889892857142857,0.9153888888888888,0.9485078993563487,0.8738423642702265,0.9929064945346233,88
frame_40,tilt_only,14.0,shuffled,chai,2000,1243,0.6215,0.48734937888198754,0.7377628143133461,0.8463395012067578,0.6799332079021637,0.9600310439802455,191
frame_40,tilt_only,14.0,shuffled,of3,2000,1703,0.8515,0.7863367729831144,0.9087236842105263,0.9371697005284791,0.9014068149670084,0.9695376758602803,107
frame_40,tilt_only,14.0,shuffled,protenix,2000,1925,0.9625,0.9313480553724457,0.986675,0.9688311688311688,0.9270117898694455,0.9973959010796046,60
frame_40,tilt_only,14.0,decoy,panel_all,8000,3909,0.488625,0.3851133720930232,0.5879781941031942,0.772831926323868,0.6637169115037967,0.8510833432102667,888
frame_40,tilt_only,14.0,decoy,boltz,2000,770,0.385,0.26999285714285715,0.5141498257839722,0.7428571428571429,0.5510155237946105,0.8809774760856817,198
frame_40,tilt_only,14.0,decoy,chai,2000,1145,0.5725,0.44393333333333335,0.6994464285714286,0.7301310043668122,0.5027839810364042,0.8916779245929677,309
frame_40,tilt_only,14.0,decoy,of3,2000,1003,0.5015,0.36186759868421053,0.6344142857142857,0.7796610169491526,0.6745433624014553,0.8705168008450382,221
frame_40,tilt_only,14.0,decoy,protenix,2000,991,0.4955,0.3674933510638298,0.6230972222222222,0.8385469223007064,0.7477373260500048,0.9305559784815266,160
