frame,arm,backbone,n_rows,binary_predicate,per_receptor_midpoint_mean,per_receptor_midpoint_median,delta_to_active_median,logit_active_fraction,cluster_boot_ci_lo_binary,cluster_boot_ci_hi_binary,n_receptors
all_40,shuffled,protenix,2000,0.855,0.8550000000000001,1.0,0.0834375195771706,1.7743677265161857,0.716996052631579,0.9542922077922078,40
all_40,shuffled,panel,8000,0.7285,0.7284999999999999,0.8,0.027952090401627452,0.9870254862612695,0.6061894872813991,0.8201445630081301,40
all_40,cognate,boltz,2000,0.8105,0.8105,1.0,-0.2185035443058183,1.4532623166532497,0.6722941176470588,0.9186267143709004,40
all_40,cognate,chai,2000,0.7395,0.7394999999999999,1.0,-0.36348828086492263,1.0433714209574332,0.5790022688598979,0.8704761904761905,40
all_40,cognate,of3,2000,0.7815,0.7815,0.98,-0.3516298631852219,1.2744291353258863,0.6302254901960784,0.9040071428571429,40
all_40,cognate,protenix,2000,0.8765,0.8765000000000001,1.0,-0.35049716783210094,1.9596955482932568,0.7403984962406015,0.975,40
all_40,cognate,panel,8000,0.802,0.8019999999999999,0.98,-0.3166074526783369,1.3988415771719795,0.6711657685762905,0.8992875457875458,40
reproduction_36,apo,boltz,1800,0.12666666666666668,0.12666666666666665,0.0,-5.790338769613179,-1.930758344034711,0.033565476190476194,0.25743258891645987,36
reproduction_36,apo,chai,1800,0.3233333333333333,0.32333333333333336,0.0,-4.8722301641468775,-0.7384950005384047,0.1534997093023256,0.520014705882353,36
reproduction_36,apo,of3,1800,0.11,0.11000000000000001,0.02,-5.9910528695206775,-2.0907410969337694,0.05179487179487179,0.18867436791630338,36
reproduction_36,apo,protenix,1800,0.07166666666666667,0.07166666666666667,0.0,-6.256092798290153,-2.5613651242337214,0.0,0.18874493243243234,36
reproduction_36,apo,panel,7200,0.15791666666666668,0.15791666666666665,0.045,-5.931891944668266,-1.6738115123211945,0.08087815126050421,0.256369012605042,36
reproduction_36,decoy,boltz,1800,0.5261111111111111,0.5261111111111112,0.56,-1.651592605957271,0.10453954569439898,0.373933014354067,0.6729613970588235,36
reproduction_36,decoy,chai,1800,0.6111111111111112,0.6111111111111112,0.99,-0.974822189813767,0.4519851237430575,0.41027857142857144,0.789211583011583,36
reproduction_36,decoy,of3,1800,0.44277777777777777,0.4427777777777778,0.39,-1.3836528571740017,-0.22989610917172063,0.31571052631578944,0.5871500000000001,36
reproduction_36,decoy,protenix,1800,0.6516666666666666,0.6516666666666667,0.8,-1.34005911978557,0.6263733080205546,0.524661111111111,0.7709598930481283,36
reproduction_36,decoy,panel,7200,0.5579166666666666,0.5579166666666667,0.535,-1.351277435942583,0.23271120707718915,0.4445647009966777,0.6640029411764706,36
reproduction_36,shuffled,boltz,1800,0.8344444444444444,0.8344444444444444,1.0,-0.0262346229294907,1.6174593458186755,0.6994113190730838,0.9432451612903225,36
reproduction_36,shuffled,chai,1800,0.7327777777777778,0.7327777777777779,1.0,0.279156318341685,1.0087618826115534,0.5636235795454545,0.8716130030959751,36
reproduction_36,shuffled,of3,1800,0.7205555555555555,0.7205555555555556,0.86,-0.1159656923107439,0.9472190142167045,0.6163382352941176,0.8309242424242425,36
reproduction_36,shuffled,protenix,1800,0.95,0.9500000000000001,1.0,0.09513709401808154,2.9444389791664394,0.8918628872775214,0.9963663101604278,36
reproduction_36,shuffled,panel,7200,0.8094444444444444,0.8094444444444444,0.88,0.0380414276761369,1.4464043590292648,0.7468464285714286,0.8693485691573926,36
reproduction_36,cognate,boltz,1800,0.9005555555555556,0.9005555555555556,1.0,-0.24938382195155026,2.2034127158949213,0.8127233766233767,0.9782857142857143,36
reproduction_36,cognate,chai,1800,0.8216666666666667,0.8216666666666667,1.0,-0.36348828086492263,1.5276803395807839,0.6920804093567252,0.9326792682926829,36
reproduction_36,cognate,of3,1800,0.8683333333333333,0.8683333333333333,1.0,-0.4050841002116261,1.8863021892863452,0.782692277992278,0.9459472972972973,36
reproduction_36,cognate,protenix,1800,0.9738888888888889,0.9738888888888889,1.0,-0.4217430057407068,3.618936283211177,0.925,1.0,36
reproduction_36,cognate,panel,7200,0.8911111111111111,0.8911111111111111,0.985,-0.3531451535460475,2.1021411291959424,0.8380867869875224,0.9424244471744472,36
