arm,backbone,axis,n,p5,p25,p50,p75,p95,iqr,n_nan
shuffled,protenix,rmsd_to_active_ref,1600,0.62105,0.799375,1.01085,1.198075,1.9003050000000001,0.39870000000000005,400
shuffled,protenix,rmsd_to_inactive_ref,1600,1.71172,2.16485,2.3945499999999997,2.68125,2.94233,0.5164,400
cognate,boltz,d_npxxy_y558_y753_oh,1800,3.6539732256304416,3.9800010732042295,4.500363025404875,5.045564971182377,12.51903713333032,1.0655638979781474,200
cognate,boltz,d_gpcrdb_tm6_tilt_246_637_ca,2000,15.723475637137954,16.977317972564883,17.325644023324756,17.84647009463572,18.684010939497668,0.8691521220708367,0
cognate,boltz,delta_to_active,1600,-1.0767031484191316,-0.6229688515143406,-0.2185035443058183,0.14825486242958558,3.0543793609023746,0.7712237139439262,400
cognate,boltz,delta_to_inactive,2000,2.0467180596426053,4.442847033814561,5.769728616011273,7.221339089577723,9.150318434703438,2.778492055763162,0
cognate,boltz,rmsd_to_active_ref,1600,0.49389000000000005,0.799075,1.0141,1.2634999999999998,1.7557449999999994,0.46442499999999987,400
cognate,boltz,rmsd_to_inactive_ref,1600,1.62213,2.095175,2.3495,2.61235,2.99102,0.5171750000000004,400
cognate,chai,d_npxxy_y558_y753_oh,1800,3.502977092967782,3.9165721736882926,4.30617021422038,4.933531163473915,11.655377642403925,1.0169589897856222,200
cognate,chai,d_gpcrdb_tm6_tilt_246_637_ca,2000,11.290410214442897,16.916100822316096,17.525496440205853,17.98978543240106,18.79648066394131,1.073684610084964,0
cognate,chai,delta_to_active,1600,-5.301710708876943,-0.9581899370356353,-0.36348828086492263,0.1261349001331746,1.2926256700718064,1.08432483716881,400
cognate,chai,delta_to_inactive,2000,0.022298536769498143,3.407711146148712,5.513588628284464,6.825932062285225,9.137923185529905,3.4182209161365127,0
cognate,chai,rmsd_to_active_ref,1600,0.61797,0.834025,1.12885,1.5035,2.410255,0.669475,400
cognate,chai,rmsd_to_inactive_ref,1600,1.1560050000000002,2.038575,2.3327999999999998,2.58035,2.83626,0.5417750000000003,400
cognate,of3,d_npxxy_y558_y753_oh,1800,3.697596325876914,4.03167847606791,4.49128470353711,6.456401231009296,10.904401813239401,2.424722754941386,200
cognate,of3,d_gpcrdb_tm6_tilt_246_637_ca,2000,16.02407283787531,17.106010308769175,17.546670989462868,17.91790876661655,18.588961427867996,0.8118984578473736,0
cognate,of3,delta_to_active,1600,-2.0708635665247432,-0.7447400819726062,-0.3516298631852219,0.217097462193641,2.0563881143568428,0.9618375441662472,400
cognate,of3,delta_to_inactive,2000,0.7739934907520506,4.353467377047805,5.575886189821335,6.996443527641093,9.752957227699975,2.642976150593288,0
cognate,of3,rmsd_to_active_ref,1600,0.635795,0.889475,1.1053,1.320875,2.068335,0.4314,400
cognate,of3,rmsd_to_inactive_ref,1600,1.623615,2.052525,2.3253500000000003,2.568575,3.105505,0.5160499999999999,400
cognate,protenix,d_npxxy_y558_y753_oh,1800,3.6054659091730645,3.8694729125828253,4.111019273340571,4.395965661307445,5.186600111151376,0.5264927487246194,200
cognate,protenix,d_gpcrdb_tm6_tilt_246_637_ca,2000,16.2512443910001,17.147415251416515,17.53110315848,17.90087533557692,18.272107394596247,0.7534600841604053,0
cognate,protenix,delta_to_active,1600,-1.5565579748616227,-0.7133028702233677,-0.35049716783210094,0.03593660482133028,1.4522100947581442,0.749239475044698,400
cognate,protenix,delta_to_inactive,2000,2.066691111200536,4.410870489903,5.616104275164686,7.04838525016873,8.635477435513097,2.63751476026573,0
cognate,protenix,rmsd_to_active_ref,1600,0.533485,0.6785,0.93755,1.0826500000000001,1.82144,0.4041500000000001,400
cognate,protenix,rmsd_to_inactive_ref,1600,1.56839,2.2047749999999997,2.3190999999999997,2.634925,3.0414049999999997,0.43015000000000025,400
