frame,backbone,contrast,scale,term_estimate,term_share,total_apo_to_cognate,ci_lo,ci_hi
all_40,panel,delta_a5ct_sequence_decoy_to_shuffled,probability,0.226375,0.34305739723432466,0.659875,0.15591755756578948,0.29989473684210527
all_40,panel,delta_correct_family_shuffled_to_cognate,probability,0.07350000000000001,0.11138473195681002,0.659875,0.04219881221719449,0.11451249999999992
all_40,panel,delta_occupancy_apo_to_decoy,logit,1.8062515003357367,0.5650551964099869,3.196593026330078,1.406059178201838,2.405380537350588
all_40,panel,delta_a5ct_sequence_decoy_to_shuffled,logit,0.9785254350836314,0.3061151128791174,3.196593026330078,0.6595605725590159,1.349065346204221
all_40,panel,delta_correct_family_shuffled_to_cognate,logit,0.41181609091071003,0.1288296907108957,3.196593026330078,0.21637128281124085,0.7950242659979578
reproduction_36,boltz,delta_occupancy_apo_to_decoy,probability,0.3994444444444444,0.5161521895190236,0.7738888888888888,0.2725626984126984,0.5284274193548387
reproduction_36,boltz,delta_a5ct_sequence_decoy_to_shuffled,probability,0.30833333333333335,0.3984206748025844,0.7738888888888888,0.20725219941348974,0.41947853535353524
reproduction_36,boltz,delta_correct_family_shuffled_to_cognate,probability,0.06611111111111112,0.08542713567839198,0.7738888888888888,-0.0062952380952380396,0.1729465944272445
reproduction_36,boltz,delta_occupancy_apo_to_decoy,logit,2.03529788972911,0.49231100025255187,4.134171059929632,1.3239691641910847,3.346236184042069
reproduction_36,boltz,delta_a5ct_sequence_decoy_to_shuffled,logit,1.5129198001242765,0.3659548137202692,4.134171059929632,1.0090552489234326,2.4874462789100558
reproduction_36,boltz,delta_correct_family_shuffled_to_cognate,logit,0.5859533700762458,0.14173418602717888,4.134171059929632,-0.07368218448660044,1.5953432700843944
reproduction_36,chai,delta_occupancy_apo_to_decoy,probability,0.28777777777777785,0.5774804905239689,0.49833333333333335,0.11807465277777782,0.4590930232558138
reproduction_36,chai,delta_a5ct_sequence_decoy_to_shuffled,probability,0.12166666666666659,0.2441471571906353,0.49833333333333335,0.040513157894736904,0.2205586124401913
reproduction_36,chai,delta_correct_family_shuffled_to_cognate,probability,0.0888888888888889,0.1783723522853958,0.49833333333333335,-0.03715178571428572,0.22882516339869274
reproduction_36,chai,delta_occupancy_apo_to_decoy,logit,1.1904801242814622,0.5253256900319326,2.2661753401191884,0.4895198264790982,2.08428567920402
reproduction_36,chai,delta_a5ct_sequence_decoy_to_shuffled,logit,0.556776758868496,0.24569006158155995,2.2661753401191884,0.19603338106954626,1.0316941674176248
reproduction_36,chai,delta_correct_family_shuffled_to_cognate,logit,0.5189184569692304,0.22898424838650755,2.2661753401191884,-0.23543556605293398,1.522911184046474
reproduction_36,of3,delta_occupancy_apo_to_decoy,probability,0.3327777777777778,0.4388278388278389,0.7583333333333333,0.21674546370967746,0.46003749999999993
reproduction_36,of3,delta_a5ct_sequence_decoy_to_shuffled,probability,0.27777777777777773,0.3663003663003663,0.7583333333333333,0.18336988416988415,0.35937591911764705
reproduction_36,of3,delta_correct_family_shuffled_to_cognate,probability,0.14777777777777779,0.1948717948717949,0.7583333333333333,0.0699880952380952,0.21695833333333325
reproduction_36,of3,delta_occupancy_apo_to_decoy,logit,1.8608449877620488,0.4678965889583375,3.9770432862201144,1.235456874872773,2.590196354976885
reproduction_36,of3,delta_a5ct_sequence_decoy_to_shuffled,logit,1.1771151233884252,0.2959774482382328,3.9770432862201144,0.7940563903638005,1.569698002291339
reproduction_36,of3,delta_correct_family_shuffled_to_cognate,logit,0.9390831750696407,0.23612596280342973,3.9770432862201144,0.458664868601492,1.6312188565329588
reproduction_36,protenix,delta_occupancy_apo_to_decoy,probability,0.58,0.6428571428571428,0.9022222222222223,0.4568242784380306,0.6975768398268397
