backbone,axis,sigma_err,var_ref,var_err,slope_ols,slope_corrected,unstable
of3,npxxy,1.1,27.27187972438473,1.2100000000000002,0.17560110783703026,0.183753909658305,False
of3,npxxy,1.2000000000000002,27.27187972438473,1.4400000000000004,0.17560110783703026,0.18539000426978286,False
of3,npxxy,1.3,27.27187972438473,1.6900000000000002,0.17560110783703026,0.18720173591604133,False
of3,npxxy,1.4000000000000001,27.27187972438473,1.9600000000000004,0.17560110783703026,0.18919860336514818,False
of3,npxxy,1.5,27.27187972438473,2.25,0.17560110783703026,0.19139138806319075,False
of3,npxxy,1.6,27.27187972438473,2.5600000000000005,0.17560110783703026,0.19379231146364917,False
of3,npxxy,1.7000000000000002,27.27187972438473,2.8900000000000006,0.17560110783703026,0.19641522091550104,False
of3,npxxy,1.8,27.27187972438473,3.24,0.17560110783703026,0.19927580977117304,False
of3,npxxy,1.9000000000000001,27.27187972438473,3.6100000000000003,0.17560110783703026,0.20239187875952774,False
of3,npxxy,2.0,27.27187972438473,4.0,0.17560110783703026,0.20578364743704927,False
protenix,tilt,0.0,1.3703249111057265,0.0,0.08229833481023822,0.08229833481023822,False
protenix,tilt,0.1,1.3703249111057265,0.010000000000000002,0.08229833481023822,0.08290332508968067,False
protenix,tilt,0.2,1.3703249111057265,0.04000000000000001,0.08229833481023822,0.08477286818545209,False
protenix,tilt,0.30000000000000004,1.3703249111057265,0.09000000000000002,0.08229833481023822,0.08808346799687962,False
protenix,tilt,0.4,1.3703249111057265,0.16000000000000003,0.08229833481023822,0.09317783786665997,False
protenix,tilt,0.5,1.3703249111057265,0.25,0.08229833481023822,0.10066317120600583,False
protenix,tilt,0.6000000000000001,1.3703249111057265,0.3600000000000001,0.08229833481023822,0.11162296118143276,False
protenix,tilt,0.7000000000000001,1.3703249111057265,0.4900000000000001,0.08229833481023822,0.1281066307567488,False
protenix,tilt,0.8,1.3703249111057265,0.6400000000000001,0.08229833481023822,0.1544182001983812,False
protenix,tilt,0.9,1.3703249111057265,0.81,0.08229833481023822,0.20126797166744145,False
protenix,tilt,1.0,1.3703249111057265,1.0,0.08229833481023822,0.3045311156526329,True
protenix,tilt,1.1,1.3703249111057265,1.2100000000000002,0.08229833481023822,0.7034181871999865,True
protenix,tilt,1.2000000000000002,1.3703249111057265,1.4400000000000004,0.08229833481023822,,True
protenix,tilt,1.3,1.3703249111057265,1.6900000000000002,0.08229833481023822,,True
protenix,tilt,1.4000000000000001,1.3703249111057265,1.9600000000000004,0.08229833481023822,,True
protenix,tilt,1.5,1.3703249111057265,2.25,0.08229833481023822,,True
protenix,tilt,1.6,1.3703249111057265,2.5600000000000005,0.08229833481023822,,True
protenix,tilt,1.7000000000000002,1.3703249111057265,2.8900000000000006,0.08229833481023822,,True
protenix,tilt,1.8,1.3703249111057265,3.24,0.08229833481023822,,True
protenix,tilt,1.9000000000000001,1.3703249111057265,3.6100000000000003,0.08229833481023822,,True
protenix,tilt,2.0,1.3703249111057265,4.0,0.08229833481023822,,True
protenix,npxxy,0.0,27.27187972438473,0.0,0.2572441216209084,0.2572441216209084,False
protenix,npxxy,0.1,27.27187972438473,0.010000000000000002,0.2572441216209084,0.2573384819967231,False
protenix,npxxy,0.2,27.27187972438473,0.04000000000000001,0.2572441216209084,0.25762197893259525,False
protenix,npxxy,0.30000000000000004,27.27187972438473,0.09000000000000002,0.2572441216209084,0.25809586444298815,False
protenix,npxxy,0.4,27.27187972438473,0.16000000000000003,0.2572441216209084,0.2587622406107299,False
protenix,npxxy,0.5,27.27187972438473,0.25,0.2572441216209084,0.259624083010019,False
protenix,npxxy,0.6000000000000001,27.27187972438473,0.3600000000000001,0.2572441216209084,0.26068527417999976,False
protenix,npxxy,0.7000000000000001,27.27187972438473,0.4900000000000001,0.2572441216209084,0.261950647857731,False
protenix,npxxy,0.8,27.27187972438473,0.6400000000000001,0.2572441216209084,0.263426044922651,False
protenix,npxxy,0.9,27.27187972438473,0.81,0.2572441216209084,0.26511838228126966,False
protenix,npxxy,1.0,27.27187972438473,1.0,0.2572441216209084,0.2670357362415456,False
protenix,npxxy,1.1,27.27187972438473,1.2100000000000002,0.2572441216209084,0.269187442304338,False
protenix,npxxy,1.2000000000000002,27.27187972438473,1.4400000000000004,0.2572441216209084,0.27158421375072844,False
protenix,npxxy,1.3,27.27187972438473,1.6900000000000002,0.2572441216209084,0.274238281949359,False
protenix,npxxy,1.4000000000000001,27.27187972438473,1.9600000000000004,0.2572441216209084,0.27716356197330744,False
protenix,npxxy,1.5,27.27187972438473,2.25,0.2572441216209084,0.28037584793493836,False
protenix,npxxy,1.6,27.27187972438473,2.5600000000000005,0.2572441216209084,0.2838930434631306,False
protenix,npxxy,1.7000000000000002,27.27187972438473,2.8900000000000006,0.2572441216209084,0.28773543401717544,False
protenix,npxxy,1.8,27.27187972438473,3.24,0.2572441216209084,0.2919260093305091,False
protenix,npxxy,1.9000000000000001,27.27187972438473,3.6100000000000003,0.2572441216209084,0.2964908463050195,False
protenix,npxxy,2.0,27.27187972438473,4.0,0.2572441216209084,0.3014595652666338,False
